Asset name,Path,Destination,downloaded date,status,status date,notes
3002_SFA_Scorpion_King_4_10314_13587_T.ism,/repolocal/rep2/repository/v/0/7/1/v_3002_sfa_scorpi_071bbb94ca107925afed2f4d8bef6ef7/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.7108868 +0000 UTC,completed,2018-07-12 18:27:54.711036 +0000 UTC,none
3002_SFA_Anomaly_9853_12421_T.ism,/repolocal/rep2/repository/v/1/d/0/v_3002_sfa_anomal_1d0a7483345b62d25b46a17c6c74fe0a/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.7116653 +0000 UTC,not started,2018-07-12 18:27:54.7118138 +0000 UTC,none
3002_SFA__The_Walking_Dea_6666_All.ism,/repolocal/rep1/repository/v/2/2/d/v_3002_sfa__the_w_22d8d9873a9a410015464feeafdd4943/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.7116653 +0000 UTC,completed,2018-07-12 18:27:54.7125303 +0000 UTC,the process completed successfully
3005_EG_8668_SD.ism,/repolocal/rep2/repository/v/3/c/e/v_3005_eg_8668_sd_3ceb2deecbd651e73abf86ccd83a8b03/,/repolocal/rep2/providers/webtv_convert1/,2018-07-12 18:27:54.7130803 +0000 UTC,completed,2018-07-12 19:17:33.7773203 +0000 UTC,the process completed successfully
3002_SFA_Let_the_Scream__10068_12862_T.ism,/repolocal/rep2/repository/v/4/f/7/v_3002_sfa_let_th_4f7b443dfa61271e0f7efa2ed1e3a39e/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.7137502 +0000 UTC,not started,2018-07-12 18:27:54.7137693 +0000 UTC,none
3002_SFA_Theory_of_Every_10611_14237_T.ism,/repolocal/rep2/repository/v/6/3/5/v_3002_sfa_theory_63599c392d3b14150e72aa4039661d8b/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.7143424 +0000 UTC,not started,2018-07-12 18:27:54.7144617 +0000 UTC,none
3002_SFA_The_Thomas_Crown_3019_2863_T.ism,/repolocal/rep1/repository/v/7/f/f/v_3002_sfa_the_th_7ffac541b866bd663c4744544152a0e8/,/repolocal/rep2/providers/webtv_convert1/,2018-07-12 18:27:54.7151065 +0000 UTC,not started,2018-07-12 18:27:54.7152193 +0000 UTC,none
3002_SFA_A_Texas_Love_Sto_9356_11402_T.ism,/repolocal/rep1/repository/v/8/1/e/v_3002_sfa_a_texa_81edab226037719ea547c81014f6b3e0/,/repolocal/rep2/providers/webtv_convert1/,2018-07-12 18:27:54.7157905 +0000 UTC,not started,2018-07-12 18:27:54.7158786 +0000 UTC,none
3002_SFA_Any_Day_Now_8210_9582_T.ism,/repolocal/rep2/repository/v/a/4/c/v_3002_sfa_any_da_a4c6283c52b1d480cc7622b99ded467a/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.716289 +0000 UTC,not started,2018-07-12 18:27:54.7163793 +0000 UTC,none
3002_SFA_Barbie_in_Rock__11068_16112_T.ism,/repolocal/rep2/repository/v/a/f/0/v_3002_sfa_barbie_af0597c03a7b052553584de34397be70/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.7168228 +0000 UTC,not started,2018-07-12 18:27:54.7168425 +0000 UTC,none
3002_WOG_EP_1_H264.ism,/repolocal/rep2/repository/v/c/2/5/v_3002_wog_ep_1_h_c259869d6ac3d6db7c83778372432330/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.7174462 +0000 UTC,not started,2018-07-12 18:27:54.7174951 +0000 UTC,none
3005_EG_3334_SD.ism,/repolocal/rep2/repository/v/c/2/f/v_3005_eg_3334_sd_c2f98f4fbd294f719d778b26878d7ab8/,/repolocal/rep2/providers/webtv_convert1/,2018-07-12 18:27:54.7179353 +0000 UTC,not started,2018-07-12 18:27:54.7180828 +0000 UTC,none
3002_SFA_Anger_Management_5343_4660_T.ism,/repolocal/rep2/repository/v/c/b/f/v_3002_sfa_anger__cbf5b4322528f2b44e7be74e61094669/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.7185567 +0000 UTC,not started,2018-07-12 18:27:54.7185737 +0000 UTC,none
3028_HBON-AAPCO-000-MNF-01-01-SSM-ALL.ism,/repolocal/rep2/repository/v/d/c/0/v_3028_hbonaapco0_dc03aef3380d46b84b506442d0462cc6/,/repolocal/rep2/providers/webtv_convert1/,2018-07-12 18:27:54.7192076 +0000 UTC,not started,2018-07-12 18:27:54.7192409 +0000 UTC,none
3002_SFA_Stockholm_marath_3274_134_T.ism,/repolocal/rep2/repository/v/f/2/0/v_3002_sfa_stockh_f20428d8d819361063c1b29ed2caad6b/,/repolocal/rep2/providers/webtv_convert2/,2018-07-12 18:27:54.7198329 +0000 UTC,not started,2018-07-12 18:27:54.7198503 +0000 UTC,none
3002_SFA_Stockholm_marath222_3274_134_T.ism,/repolocal/rep2/repository/v/f/2/0/v_3002_sfa_stockh_f20428d8d819361063c1b29ed2caad6b/,/repolocal/rep2/providers/webtv_convert2/,2018-07-13 00:01:45.207569582 +0000 UTC,not started,2018-07-13 00:01:45.207575001 +0000 UTC,none
